Date;coef mort;coef betaH;% Original Variant;% Variant 2;% Variant 3;Estimated V1 (Pfizer);Estimated V2 (Moderna);Estimated V3 (AstraZeneca);Estimated V4 (J&J)
19-Jan-2020;1;1;100;0;0;-;-;-;-
20-Jan-2020;1;1;100;0;0;-;-;-;-
21-Jan-2020;1;1;100;0;0;-;-;-;-
22-Jan-2020;1;1;100;0;0;-;-;-;-
23-Jan-2020;1;1;100;0;0;-;-;-;-
24-Jan-2020;1;1;100;0;0;-;-;-;-
25-Jan-2020;1;1;100;0;0;-;-;-;-
26-Jan-2020;1;1;100;0;0;-;-;-;-
27-Jan-2020;1;1;100;0;0;-;-;-;-
28-Jan-2020;1;1;100;0;0;-;-;-;-
29-Jan-2020;1;1;100;0;0;-;-;-;-
30-Jan-2020;1;1;100;0;0;-;-;-;-
31-Jan-2020;1;1;100;0;0;-;-;-;-
01-Feb-2020;1;1;100;0;0;-;-;-;-
02-Feb-2020;1;1;100;0;0;-;-;-;-
03-Feb-2020;1;1;100;0;0;-;-;-;-
04-Feb-2020;1;1;100;0;0;-;-;-;-
05-Feb-2020;1;1;100;0;0;-;-;-;-
06-Feb-2020;1;1;100;0;0;-;-;-;-
07-Feb-2020;1;1;100;0;0;-;-;-;-
08-Feb-2020;1;1;100;0;0;-;-;-;-
09-Feb-2020;1;1;100;0;0;-;-;-;-
10-Feb-2020;1;1;100;0;0;-;-;-;-
11-Feb-2020;1;1;100;0;0;-;-;-;-
12-Feb-2020;1;1;100;0;0;-;-;-;-
13-Feb-2020;1;1;100;0;0;-;-;-;-
14-Feb-2020;1;1;100;0;0;-;-;-;-
15-Feb-2020;1;1;100;0;0;-;-;-;-
16-Feb-2020;1;1;100;0;0;-;-;-;-
17-Feb-2020;1;1;100;0;0;-;-;-;-
18-Feb-2020;1;1;100;0;0;-;-;-;-
19-Feb-2020;1;1;100;0;0;-;-;-;-
20-Feb-2020;1;1;100;0;0;-;-;-;-
21-Feb-2020;1;1;100;0;0;-;-;-;-
22-Feb-2020;1;1;100;0;0;-;-;-;-
23-Feb-2020;1;1;100;0;0;-;-;-;-
24-Feb-2020;1;1;100;0;0;-;-;-;-
25-Feb-2020;1;1;100;0;0;-;-;-;-
26-Feb-2020;1;1;100;0;0;-;-;-;-
27-Feb-2020;1;1;100;0;0;-;-;-;-
28-Feb-2020;1;1;100;0;0;-;-;-;-
29-Feb-2020;1;1;100;0;0;-;-;-;-
01-Mar-2020;1;1;100;0;0;-;-;-;-
02-Mar-2020;1;1;100;0;0;-;-;-;-
03-Mar-2020;1;1;100;0;0;-;-;-;-
04-Mar-2020;1;1;100;0;0;-;-;-;-
05-Mar-2020;1;1;100;0;0;-;-;-;-
06-Mar-2020;1;1;100;0;0;-;-;-;-
07-Mar-2020;1;1;100;0;0;-;-;-;-
08-Mar-2020;1;1;100;0;0;-;-;-;-
09-Mar-2020;1;1;100;0;0;-;-;-;-
10-Mar-2020;1;1;100;0;0;-;-;-;-
11-Mar-2020;1;1;100;0;0;-;-;-;-
12-Mar-2020;1;1;100;0;0;-;-;-;-
13-Mar-2020;1;1;100;0;0;-;-;-;-
14-Mar-2020;1;1;100;0;0;-;-;-;-
15-Mar-2020;1;1;100;0;0;-;-;-;-
16-Mar-2020;1;1;100;0;0;-;-;-;-
17-Mar-2020;1;1;100;0;0;-;-;-;-
18-Mar-2020;1;1;100;0;0;-;-;-;-
19-Mar-2020;1;1;100;0;0;-;-;-;-
20-Mar-2020;1;1;100;0;0;-;-;-;-
21-Mar-2020;1;1;100;0;0;-;-;-;-
22-Mar-2020;1;1;100;0;0;-;-;-;-
23-Mar-2020;1;1;100;0;0;-;-;-;-
24-Mar-2020;1;1;100;0;0;-;-;-;-
25-Mar-2020;1;1;100;0;0;-;-;-;-
26-Mar-2020;1;1;100;0;0;-;-;-;-
27-Mar-2020;1;1;100;0;0;-;-;-;-
28-Mar-2020;1;1;100;0;0;-;-;-;-
29-Mar-2020;1;1;100;0;0;-;-;-;-
30-Mar-2020;1;1;100;0;0;-;-;-;-
31-Mar-2020;1;1;100;0;0;-;-;-;-
01-Apr-2020;1;1;100;0;0;-;-;-;-
02-Apr-2020;1;1;100;0;0;-;-;-;-
03-Apr-2020;1;1;100;0;0;-;-;-;-
04-Apr-2020;1;1;100;0;0;-;-;-;-
05-Apr-2020;1;1;100;0;0;-;-;-;-
06-Apr-2020;1;1;100;0;0;-;-;-;-
07-Apr-2020;1;1;100;0;0;-;-;-;-
08-Apr-2020;1;1;100;0;0;-;-;-;-
09-Apr-2020;1;1;100;0;0;-;-;-;-
10-Apr-2020;1;1;100;0;0;-;-;-;-
11-Apr-2020;1;1;100;0;0;-;-;-;-
12-Apr-2020;1;1;100;0;0;-;-;-;-
13-Apr-2020;1;1;100;0;0;-;-;-;-
14-Apr-2020;1;1;100;0;0;-;-;-;-
15-Apr-2020;1;1;100;0;0;-;-;-;-
16-Apr-2020;1;1;100;0;0;-;-;-;-
17-Apr-2020;1;1;100;0;0;-;-;-;-
18-Apr-2020;1;1;100;0;0;-;-;-;-
19-Apr-2020;1;1;100;0;0;-;-;-;-
20-Apr-2020;1;1;100;0;0;-;-;-;-
21-Apr-2020;1;1;100;0;0;-;-;-;-
22-Apr-2020;1;1;100;0;0;-;-;-;-
